院校名称,院校简介,计算机评级,招生院系,专业代码,初试科目,参考书,复试科目,24招生人数,24复试线,23拟录取情况,23拟录取情况,24复试名单,学费学制,,
中国民航大学,,第四轮评级：计算机C+，软件工程无评级。,计算机科学与技术学院,电子信息(085404)-计算机技术,"① 101 思想政治理论
② 202英语（二）
③ 302数学（二）
④ 408计算机学科专业基础",,计算机专业基础、信息安全专业基础,12,,273/38/57,平均分：384,,,,
,,,安全科学与工程学部,电子信息(085412)-网络与信息安全,,,要求：四级必须过；程序设计（上机）,40,,,"最高分：365
最低分：274
平均分：301",,,,
浙江师范大学,"
浙江师范大学（Zhejiang Normal University），位于浙江省金华市，是一所以教师教育为特色的综合性省属重点大学，是浙江省首批重点建设高校，入选国家“111计划”、“卓越教师培养计划”、“新工科研究与实践项目”、教育部“教育援外基地",第四轮评级：计算机C+，软件工程B-。,计算机科学与技术学院,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,C语言程序设计，初复试占比6：4,42【2】,274/38/57,273/38/57,"最高分：374
最低分：273
平均分：304",一志愿复试名单：https://cs.zjnu.edu.cn/2024/0327/c16776a462798/page.htm,,,
,,,,085400电子信息,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 408计算机学科专业基础",,,93【6】,283/38/57,313/38/57,"最高分：384
最低分：313
平均分：338",,,,
浙江工商大学,浙江工商大学（Zhejiang Gongshang University），简称“浙商大”（ZJSU），坐落于浙江省杭州市，是中华人民共和国教育部、中华人民共和国商务部和浙江省人民政府共建的浙江省重点建设高校，入选“卓越法律人才教育培养计划”、“卓越农林人才教育培养计划”，是全国深化创新创业教育改革示范高校。,第四轮评级：计算机B-，软件工程无评级。,计算机科学与技术学院,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,C语言程序设计，初复试占比6：4,29,273,273/38/57,"最高分：365
最低分：281
平均分：307",https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fyjszs.zjgsu.edu.cn%2F_upload%2Farticle%2Ffiles%2F62%2F73%2F3f33ec9e4a848ba5d5b0f0df63df%2F8de7fb2e-917e-4d69-9ceb-80b4f0cdac3d.xls&wdOrigin=BROWSELINK,,,
,,,,085404电子信息-计算机技术,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 408计算机学科专业基础",,,51,273,300/38/57,"最高分：403
最低分：300
平均分：343",,,,
,,,,085410电子信息-人工智能,,,,24,273,300/38/57,"最高分：392
最低分：300
平均分：336",,,,
,,,信息与电子工程学院（萨塞克斯人工智能学院）,085410电子信息-人工智能,,,,42,273,273/38/57,"最高分：372
最低分：277
平均分：307",https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fyjszs.zjgsu.edu.cn%2F_upload%2Farticle%2Ffiles%2F62%2F73%2F3f33ec9e4a848ba5d5b0f0df63df%2Fc92d42bc-020c-4160-8ddc-dcc1be006d54.xls&wdOrigin=BROWSELINK,,,
杭州电子科技大学,四大电子之一的杭州电子科技大学，浙江省人民政府与国防科技工业局共建高校，是一所电子信息特色突出，经管学科优势明显，工、理、经、管、文、法、艺等多学科相互渗透的教学研究型大学，是浙江省首批重点建设的5所高校之一，是省属高校中唯一拥有国防特色重点专业的高校。最近几年杭电的计算机考研出现了【逆向考研】的趋势。,第四轮评级：计算机B+，软件工程C+。,网络空间安全学院,083900网络空间安全,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,程序设计综合能力测试(C或C++)，初复试占比6：4,19,275,282/38/57,"最高分：356
最低分：303
平均分：320",所有专业拟录取名单：https://grs.hdu.edu.cn/2024/0407/c1721a263080/page.htm,"学制：学术型硕士研究生学制3年，专业学位型硕士研究生学制2.5年。

学费：全日制学术型硕士研究生每生每年学费8000元（不含中外合作办学招生专业）。全日制专业学位硕士研究生每生每年学费10000元。
计算机/软件专硕非全日制-电子信息
第1学年14000，第2学年14000，全程28000",,
,,,,电子信息(085400),,,,36,273,273/38/57,"最高分：367
最低分：278
平均分：311",,,,
